venue_id,label,value_som,value_eom,period_inflow,revenue,actual_revenue,br_charge,sky_direct_shortfall
S1,Spark USDS (SparkLend spToken),275418608.3213400448412996230,150752807.5253913448141732490,-125270347.515819379117237008,604546.7198706790901106340,604546.7198706790901106340,0,0
S2,Spark USDC (SparkLend spToken),47958113.06545100,37220.75620400,-48081075.899733,160183.59048600,160183.59048600,0,0
S3,Spark USDT (SparkLend spToken),334974961.94733800,282411706.53750300,-53138486.106897,575230.69706200,575230.69706200,0,0
S4,Spark DAI (SparkLend spToken),246097994.8466104183830193920,252839704.1525800670912007510,6171379.731116475607871131,570329.5748531731003102280,570329.5748531731003102280,0,0
S5,Spark PYUSD (SparkLend spToken),100000062.95844700,100000230.66688900,-71291.738206,71459.44664800,71459.44664800,0,0
S6,Aave Ethereum Lido USDS (aToken),0.00051924532895725300,0.00052015811025032900,0,9.1278129307600E-7,9.1278129307600E-7,0,0
S7,Aave Ethereum USDS (aToken),0.00574069635425230800,0.00574117663797135100,0,4.8028371904300E-7,4.8028371904300E-7,0,0
S8,Aave Ethereum USDC (aToken),0.05746300,0.0575600,0,0.00009700,0.00009700,0,0
S9,Aave Ethereum USDT (aToken),0,495610843.87142300,495610843.871423,0E-8,0E-8,0,0
S10,Spark Blue Chip USDC Vault (Morpho),977613.8365042644747808101454,977119.8903059549179100225464,-5335.9453782095610446100,4841.9991799000041738224010,4841.9991799000041738224010,0,0
S11,Spark Blue Chip USDT Vault (Morpho V2),0,40001.50457793332431023546322,39998.0245779333208678300,3.48000000000344240546322,3.48000000000344240546322,0,0
S12,Spark DAI Vault (Morpho),344.9608587271187404396156180,359.9872090112887731342802056,14.07291377441183377727514797,0.95343650975819891738943963,0.95343650975819891738943963,0,0
S13,Spark USDS Vault (Morpho),21.90659475982324604240327432,21.90660081202969616564821953,0E-26,0.00000605220645012324494521,0.00000605220645012324494521,0,0
S14,Maple syrupUSDC (ERC-4626),200002600.60663594984800,100002159.2601166519800,-100416041.2221330100,415599.87561371213200,415599.87561371213200,0,0
S15,Maple syrupUSDT (ERC-4626),55000541.20928549009400,100001961.58153423978200,44829166.7237095000,172253.64853924968800,172253.64853924968800,0,0
S16,Ethena Staked USDe (sUSDe),98.88131626312872135789007811,99.16991404040614262465396367,0,0.28859777727742126676388556,0.28859777727742126676388556,0,0
S17,Fluid Savings USDS (fsUSDS),0.001240144670509943245164423552,0.001240144670509943245164423552,0,0E-30,0E-30,0,0
S18,Arkis Spark Prime USDC 1 (ERC-4626),10113369.18090355902000,10156910.09323083859500,0E-10,43540.91232727957500,43540.91232727957500,0,0
S19,BlackRock USD Institutional Digital Liquidity Fund (BUIDL-I),0,0,0.00,30622.82059195699743716586200,0.00,-30622.82059195699743716586200,0
S20,Janus Henderson Anemoy Treasury Fund (JTRSY),0,0,0.000000,0,0.000000,0,0
S21,Superstate Short Duration US Government Securities Fund (USTB),0,0,0.000000,0,0.000000,0,0
S22,Superstate Crypto Carry Fund (USCC),0,0,0.000000,0.000000,0.000000,0,0
S23,Anchorage off-chain custodial position,0,0,0,0,0,0,0
S24,Spark.fi USDT Reserve Curve (sUSDS/USDT),50000340.64647673756280860172,50000879.85586480846928050163,-82936.30931626884478224383813,83475.51870433975125414374813,83475.51870433975125414374813,0,0
S25,Spark.fi PYUSD Reserve Curve (PYUSD/USDS),100000617.7417743119241664396,100000454.4463709042740635517,-9546.013850788433602025008941,9382.718447380783499137108941,9382.718447380783499137108941,0,0
S26,USDC raw (ALM idle),0,0,0,0,0,0,0
S27,USDT raw (ALM idle — $442M as of 2026-04),1868.7416400,0,-1868.74164,0E-7,0E-7,0,0
S28,PYUSD raw (ALM idle — $677M as of 2026-04),527588174.07010600,555394863.22054400,27806689.150438,0E-8,0E-8,0,0
S29,DAI raw (ALM idle),0,0,0,0,0,0,0
S30,USDe raw (ALM idle),0.00007489627589780300,0.00007489627589780300,0E-18,0E-20,0E-20,0,0
