venue_id,label,value_som,value_eom,period_inflow,revenue,actual_revenue,br_charge,sky_direct_shortfall
E1,Aave Horizon RWA RLUSD (aToken),50248550.46199798780043206200,101329036.6002151595765184260,51004936.850913038842963292,75549.28730413293312307200,75549.28730413293312307200,0,0
E2,Aave Horizon RWA USDC (aToken),10056422.19689500,11600502.74576400,1504589.712698,39490.83617100,39490.83617100,0,0
E3,Aave Ethereum RLUSD (aToken),241966197.0397168802440580110,252762587.4981602736558883190,10567061.59424394573714107,229328.8641994476746892380,229328.8641994476746892380,0,0
E4,Grove x Steakhouse USDC (Morpho 4626),0,0,0,0,0,0,0
E5,Grove x Steakhouse USDC High Yield (Morpho 4626),0,1009793.258152034008513056706,999752.6474932900,10040.610658744008513056706,10040.610658744008513056706,0,0
E6,Grove x Steakhouse AUSD (Morpho 4626),0,0,0,0,0,0,0
E7,Securitize Tokenized AAA CLO Fund (STAC),100000000.00,100616387.900000,0,616387.900000,616387.900000,0,0
E8,Janus Henderson Anemoy AAA CLO (JAAA),751935537.8970235175870096723,454188405.3282758286693314120,-300050751.2022005269586890112,1307953.422621025401772329237,2303618.6334528380410107509,0,0
E9,Janus Henderson Anemoy Treasury Fund (JTRSY),258849970.7466535710549482943,559853396.4705988722813996031,300015212.8938632519610268184,0E-19,988212.8300820492654244904,0,0
E10,BlackRock USD Institutional Digital Liquidity Fund (BUIDL-I),178974854.0100,179495969.9800,0.00,0.0000,521115.9700,0,0
E11,Curve AUSD/USDC stableswap LP,0,0,0E-8,0E-8,0E-8,0,0
E12,Uniswap V3 AUSD/USDC pool (NFT positions),0,0,0,0,0,0,0
E13,RLUSD raw (ALM idle),0,0,0,0,0,0,0
E14,AUSD raw (ALM idle),0,0,0,0,0,0,0
E15,USDC raw (ALM idle),0,0,-1.50E-9,1.50E-9,1.50E-9,0,0
E16,DAI raw (ALM idle),0,0,0,0,0,0,0
E17,USDS raw / POL (ALM idle — already netted out of utilized),0,0,0,0,0,0,0
E18,sUSDS raw / POL (ALM idle — Cat B 4626),0,0,0,0,0,0,0
E19,"Grove x Steakhouse USDC High Yield (Base, Morpho 4626)",0,1001359.023633771296563672690,1000018.224994585569185600,1340.798639185727378072690,1340.798639185727378072690,0,0
E23,"Steakhouse Prime Instant (Base, Morpho V2)",0,0,0,0,0,0,0
E22,Anemoy Tokenized Apollo Diversified Credit Fund (ACRDX),50014229.92445156260108741200,51022216.71434895939374972770,0E-9,1007986.78989739679266231570,1007986.78989739679266231570,0,0
E24,Steakhouse High Yield PYUSD (Morpho 4626),0,0,0,0,0,0,0
E26,PYUSD raw (ALM idle),0,0,0,0,0,0,0
E27,USDC raw on Base (ALM idle),0,0,0,0,0,0,0
