venue_id,label,value_som,value_eom,period_inflow,revenue,actual_revenue,br_charge,sky_direct_shortfall
S1,Spark USDS (SparkLend spToken),556639355.913908391386245100,275418608.3213400448412996230,-282473846.166375612610446999,1253098.5738072660655015220,1253098.5738072660655015220,0,0
S2,Spark USDC (SparkLend spToken),43659321.09212900,47958113.06545100,4194983.352535,103808.62078700,103808.62078700,0,0
S3,Spark USDT (SparkLend spToken),220863532.35860200,334974961.94733800,113698984.791733,412444.79700300,412444.79700300,0,0
S4,Spark DAI (SparkLend spToken),305426388.3172730421922184450,246097994.8466104183830193920,-60046808.951049658654390659,718415.4803870348451916060,718415.4803870348451916060,0,0
S5,Spark PYUSD (SparkLend spToken),99995755.66040600,100000062.95844700,-57005.688996,61312.98703700,61312.98703700,0,0
S6,Aave Ethereum Lido USDS (aToken),0.00051842303049775700,0.00051924532895725300,0,8.2229845949600E-7,8.2229845949600E-7,0,0
S7,Aave Ethereum USDS (aToken),0.00573936985854387200,0.00574069635425230800,0,0.00000132649570843600,0.00000132649570843600,0,0
S8,Aave Ethereum USDC (aToken),0.05735400,0.05746300,0,0.00010900,0.00010900,0,0
S9,Aave Ethereum USDT (aToken),0,0,0,0,0,0,0
S10,Spark Blue Chip USDC Vault (Morpho),976334.4376037563380806224699,977613.8365042644747808101454,-981.4728172964801944100,2260.8717178046168945976755,2260.8717178046168945976755,0,0
S11,Spark Blue Chip USDT Vault (Morpho V2),0,0,0,0,0,0,0
S12,Spark DAI Vault (Morpho),332.9212943539781376426526895,344.9608587271187404396156180,10.77731536261130305395315548,1.26224901052929974300977302,1.26224901052929974300977302,0,0
S13,Spark USDS Vault (Morpho),21.90604334087989527416135292,21.90659475982324604240327432,0.01148021327605642069242600,-0.01092879433270565245050460,-0.01092879433270565245050460,0,0
S14,Maple syrupUSDC (ERC-4626),100000608.93181282133700,200002600.60663594984800,99407769.3401140600,594222.33470906851100,594222.33470906851100,0,0
S15,Maple syrupUSDT (ERC-4626),0,55000541.20928549009400,54898506.3242755200,102034.88500997009400,102034.88500997009400,0,0
S16,Ethena Staked USDe (sUSDe),98.60727406618892813912339964,98.88131626312872135789007811,0,0.27404219693979321876667847,0.27404219693979321876667847,0,0
S17,Fluid Savings USDS (fsUSDS),0.001240144670509943245164423552,0.001240144670509943245164423552,0,0E-30,0E-30,0,0
S18,Arkis Spark Prime USDC 1 (ERC-4626),15106645.2363251587500,10113369.18090355902000,-5051740.2164146200,58464.16099302027000,58464.16099302027000,0,0
S19,BlackRock USD Institutional Digital Liquidity Fund (BUIDL-I),0,0,0.00,28880.78751732563181445066400,0.00,-28880.78751732563181445066400,0
S20,Janus Henderson Anemoy Treasury Fund (JTRSY),0,0,0.000000,0,0.000000,0,0
S21,Superstate Short Duration US Government Securities Fund (USTB),0,0,0.000000,0,0.000000,0,0
S22,Superstate Crypto Carry Fund (USCC),0,0,0.000000,0.000000,0.000000,0,0
S23,Anchorage off-chain custodial position,0,0,0,0,0,0,0
S24,Spark.fi USDT Reserve Curve (sUSDS/USDT),49999911.74966040631572644250,50000340.64647673756280860172,-33822.16786895915602416749449,34251.06468529040310632671449,34251.06468529040310632671449,0,0
S25,Spark.fi PYUSD Reserve Curve (PYUSD/USDS),100000425.5500490855707751108,100000617.7417743119241664396,-12634.45796369123256286584562,12826.64968891758595419464562,12826.64968891758595419464562,0,0
